id,created,project_id,task_id,user_id,finish_time,task_type
6811,2020-03-22t21:00:18.762675,4,2762,127,2020-03-22t21:35:24.185786,quoted sources
6817,2020-03-22t21:00:18.882916,4,2763,127,2020-03-22t21:40:11.603131,quoted sources
6821,2020-03-22t21:35:24.432392,4,2764,127,2020-03-22t21:42:49.307889,quoted sources
6828,2020-03-22t21:40:12.017893,4,2765,127,2020-03-22t21:49:48.136914,quoted sources
6840,2020-03-22t21:42:49.507588,4,2766,127,2020-03-22t21:58:56.087608,quoted sources
6843,2020-03-22t21:49:48.349860,4,2767,127,2020-03-22t22:02:10.757185,quoted sources
6852,2020-03-22t21:58:56.308070,4,2768,127,2020-03-22t22:21:37.348987,quoted sources
6853,2020-03-22t22:02:10.975929,4,2769,127,2020-03-22t22:26:47.794783,quoted sources
6854,2020-03-22t22:21:37.584138,4,2770,127,2020-03-22t22:31:14.581949,quoted sources
6855,2020-03-22t22:26:48.020225,4,2771,127,2020-03-22t22:39:08.367533,quoted sources
6888,2020-03-23t19:02:03.137320,4,2762,35,2020-03-23t19:05:53.427732,quoted sources
6889,2020-03-23t19:08:35.799048,4,2763,35,2020-03-23t19:09:53.870836,quoted sources
6890,2020-03-23t19:08:36.080363,4,2764,35,2020-03-23t19:10:52.391095,quoted sources
6891,2020-03-23t19:09:54.098667,4,2765,35,2020-03-23t19:13:42.544181,quoted sources
6892,2020-03-23t19:10:52.639799,4,2766,35,2020-03-23t19:15:07.237728,quoted sources
6893,2020-03-23t19:13:42.790600,4,2767,35,2020-03-23t19:16:14.390140,quoted sources
6894,2020-03-23t19:15:07.485843,4,2768,35,2020-03-23t19:17:19.087946,quoted sources
6895,2020-03-23t19:16:14.716926,4,2769,35,2020-03-23t19:19:41.002664,quoted sources
6896,2020-03-23t19:17:19.357981,4,2770,35,2020-03-23t19:20:40.426163,quoted sources
6897,2020-03-23t19:27:26.225009,4,2762,30,2020-03-23t19:29:46.084320,quoted sources
6898,2020-03-23t19:27:26.342714,4,2763,30,2020-03-23t19:31:14.940720,quoted sources
6915,2020-03-23t19:56:38.722047,4,2764,231,2020-03-23t19:59:49.972374,quoted sources
6916,2020-03-23t19:56:38.926219,4,2765,231,2020-03-23t20:02:00.636666,quoted sources
6917,2020-03-23t19:59:50.481315,4,2766,231,2020-03-23t20:04:32.807697,quoted sources
6918,2020-03-23t20:02:01.053540,4,2767,231,2020-03-23t20:06:36.768644,quoted sources
6921,2020-03-23t20:04:33.098539,4,2768,231,2020-03-23t20:08:06.778495,quoted sources
6922,2020-03-23t20:06:37.064632,4,2769,231,2020-03-23t20:10:21.152786,quoted sources
6923,2020-03-23t20:08:07.223419,4,2770,231,2020-03-23t20:11:53.027837,quoted sources
6924,2020-03-23t20:10:21.456827,4,2771,231,2020-03-23t20:14:16.954918,quoted sources
6925,2020-03-23t20:11:53.653140,4,2772,231,2020-03-23t20:15:39.729916,quoted sources
6926,2020-03-23t20:14:17.429407,4,2773,231,2020-03-23t20:18:21.063905,quoted sources
6948,2020-03-23t21:00:53.367170,4,2772,236,2020-03-23t21:03:11.183763,quoted sources
6949,2020-03-23t20:33:45.477416,4,2772,198,2020-03-23t21:07:01.590642,quoted sources
6950,2020-03-23t20:33:45.676322,4,2773,198,2020-03-23t21:09:13.375222,quoted sources
6951,2020-03-23t21:07:01.836985,4,2774,198,2020-03-23t21:15:47.386343,quoted sources
6952,2020-03-23t21:09:13.579750,4,2775,198,2020-03-23t21:18:19.256994,quoted sources
6953,2020-03-23t21:15:47.698490,4,2776,198,2020-03-23t21:19:36.687601,quoted sources
6956,2020-03-23t21:23:10.950114,4,2774,5,2020-03-23t21:25:32.157661,quoted sources
6957,2020-03-23t21:18:19.465605,4,2777,198,2020-03-23t21:29:15.039732,quoted sources
6958,2020-03-23t21:23:11.123261,4,2775,5,2020-03-23t21:30:29.643165,quoted sources
6959,2020-03-23t21:25:32.545151,4,2776,5,2020-03-23t21:31:44.389386,quoted sources
6960,2020-03-23t21:19:36.904755,4,2778,198,2020-03-23t21:32:11.379000,quoted sources
6961,2020-03-23t21:30:29.932296,4,2777,5,2020-03-23t21:33:49.493914,quoted sources
6962,2020-03-23t21:31:44.641451,4,2778,5,2020-03-23t21:34:51.958929,quoted sources
6963,2020-03-23t21:33:49.771699,4,2779,5,2020-03-23t21:36:41.955992,quoted sources
6964,2020-03-23t21:34:52.212027,4,2780,5,2020-03-23t21:38:24.322846,quoted sources
6965,2020-03-23t21:36:42.234572,4,2781,5,2020-03-23t21:39:37.414768,quoted sources
6966,2020-03-23t21:38:24.735634,4,2782,5,2020-03-23t21:40:35.410307,quoted sources
6967,2020-03-23t21:29:15.259207,4,2779,198,2020-03-23t21:41:06.198086,quoted sources
6968,2020-03-23t21:39:37.726360,4,2783,5,2020-03-23t21:41:29.504563,quoted sources
6969,2020-03-23t21:32:11.582668,4,2780,198,2020-03-23t21:46:29.954475,quoted sources
6970,2020-03-23t21:41:06.421205,4,2781,198,2020-03-23t21:50:31.920335,quoted sources
6971,2020-03-23t21:46:30.181268,4,2782,198,2020-03-23t21:53:17.693538,quoted sources
6972,2020-03-23t21:50:32.147553,4,2783,198,2020-03-23t21:55:20.884751,quoted sources
6991,2020-03-23t23:25:50.311612,4,2774,127,2020-03-23t23:57:39.693731,quoted sources
6998,2020-03-24t00:18:24.604447,4,2775,239,2020-03-24t00:24:11.277264,quoted sources
6999,2020-03-24t00:18:24.761705,4,2776,239,2020-03-24t00:26:10.876937,quoted sources
7000,2020-03-24t00:24:11.528760,4,2777,239,2020-03-24t00:28:14.010388,quoted sources
7001,2020-03-24t00:26:11.305773,4,2778,239,2020-03-24t00:30:03.582285,quoted sources
7009,2020-03-23t21:53:17.932750,4,2784,198,2020-03-24t01:14:50.861746,quoted sources
7010,2020-03-23t21:55:21.101382,4,2785,198,2020-03-24t01:22:56.433174,quoted sources
7011,2020-03-24t01:14:51.070633,4,2786,198,2020-03-24t01:24:38.844786,quoted sources
7012,2020-03-24t01:22:56.636898,4,2787,198,2020-03-24t01:26:20.735700,quoted sources
7013,2020-03-24t02:30:22.977355,4,2779,205,2020-03-24t02:34:26.066270,quoted sources
7014,2020-03-24t02:30:23.143503,4,2780,205,2020-03-24t02:36:41.619514,quoted sources
7015,2020-03-24t02:34:26.395094,4,2781,205,2020-03-24t02:38:42.639456,quoted sources
7016,2020-03-24t02:36:41.947386,4,2782,205,2020-03-24t02:50:55.865689,quoted sources
7017,2020-03-24t02:38:42.953620,4,2783,205,2020-03-24t02:52:52.998824,quoted sources
7018,2020-03-24t02:50:56.149895,4,2784,205,2020-03-24t02:55:51.873527,quoted sources
7019,2020-03-24t04:20:27.768515,4,2784,30,2020-03-24t04:21:57.046432,quoted sources
7020,2020-03-24t04:20:27.898827,4,2785,30,2020-03-24t04:23:05.922475,quoted sources
7021,2020-03-24t04:21:57.250184,4,2786,30,2020-03-24t04:25:02.691670,quoted sources
7022,2020-03-24t04:23:06.159705,4,2787,30,2020-03-24t04:25:53.290583,quoted sources
7030,2020-03-24t04:42:41.704891,4,2785,240,2020-03-24t04:54:35.227740,quoted sources
7031,2020-03-24t02:52:53.309305,4,2785,205,2020-03-24t04:59:03.480921,quoted sources
7032,2020-03-24t02:55:52.109094,4,2786,205,2020-03-24t05:01:27.019189,quoted sources
7033,2020-03-24t04:59:03.973181,4,2787,205,2020-03-24t05:04:01.051634,quoted sources
7035,2020-03-24t04:42:41.860841,4,2786,240,2020-03-24t05:08:33.971522,quoted sources
7038,2020-03-24t04:54:35.498011,4,2787,240,2020-03-24t05:10:45.286989,quoted sources
7787,2020-07-02t14:34:54.031945,4,2762,314,2020-07-02t15:10:00.786047,quoted sources
7788,2020-07-02t14:34:54.362591,4,2763,314,2020-07-02t17:41:36.964875,quoted sources
7789,2020-07-02t15:10:01.220079,4,2764,314,2020-07-02t17:44:58.690400,quoted sources
7790,2020-07-02t17:41:37.478185,4,2765,314,2020-07-02t17:48:03.650852,quoted sources
7805,2020-07-02t21:11:58.047559,4,2762,313,2020-07-02t21:22:17.398262,quoted sources
7821,2020-07-06t00:12:25.321800,4,2762,316,2020-07-06t00:24:59.019167,quoted sources
7822,2020-07-06t12:19:19.677169,4,2762,317,2020-07-06t12:26:13.531419,quoted sources
7823,2020-07-06t12:19:19.856327,4,2763,317,2020-07-06t12:28:52.676537,quoted sources
7824,2020-07-06t12:26:13.831641,4,2764,317,2020-07-06t12:30:16.916255,quoted sources
7825,2020-07-06t12:28:52.948890,4,2765,317,2020-07-06t12:32:22.282490,quoted sources
7826,2020-07-06t12:30:17.290710,4,2766,317,2020-07-06t12:34:45.131408,quoted sources
7827,2020-07-06t12:32:22.562907,4,2767,317,2020-07-06t12:35:53.894386,quoted sources
7828,2020-07-06t12:34:45.405366,4,2768,317,2020-07-06t12:43:56.857016,quoted sources
7829,2020-07-06t12:35:54.180508,4,2769,317,2020-07-06t12:45:49.035568,quoted sources
7830,2020-07-06t12:43:57.139926,4,2770,317,2020-07-06t12:46:53.821652,quoted sources
7831,2020-07-06t12:45:49.362813,4,2771,317,2020-07-06t12:48:13.200344,quoted sources
7848,2020-07-08t20:20:57.773257,4,2763,313,2020-07-08t20:25:04.778514,quoted sources
7849,2020-07-08t20:20:57.970034,4,2764,313,2020-07-08t20:26:41.545762,quoted sources
7850,2020-07-08t20:25:05.374885,4,2765,313,2020-07-08t20:29:15.185423,quoted sources
7851,2020-07-10t01:21:32.906027,4,2763,316,2020-07-10t01:25:17.198903,quoted sources
7852,2020-07-10t01:21:34.244322,4,2764,316,2020-07-10t01:30:16.249506,quoted sources
7853,2020-07-10t01:25:17.465509,4,2765,316,2020-07-10t01:33:09.292822,quoted sources
7854,2020-07-10t13:05:31.118701,4,2762,318,2020-07-10t13:08:35.394367,quoted sources
7855,2020-07-15t15:07:53.865762,4,2766,313,2020-07-15t15:11:00.019903,quoted sources
7856,2020-07-15t15:07:54.194711,4,2767,313,2020-07-15t15:12:28.323249,quoted sources
7873,2020-07-16t18:13:41.282779,4,2762,319,2020-07-16t18:48:32.543794,quoted sources
7874,2020-07-16t18:13:41.436100,4,2763,319,2020-07-16t19:10:19.281524,quoted sources
7875,2020-08-02t17:46:30.629841,4,2762,152,2020-08-02t17:52:17.797978,quoted sources
7878,2020-08-10t22:16:21.624163,4,2762,322,2020-08-10t22:35:42.888287,quoted sources
7893,2020-09-01t22:21:10.652267,4,2762,171,2020-09-01t22:39:00.919174,quoted sources
7894,2020-09-01t22:50:31.373854,4,2763,171,2020-09-01t22:58:02.457864,quoted sources
7904,2020-09-05t02:48:38.966775,4,2762,328,2020-09-05t02:54:09.267532,quoted sources
7905,2020-09-05t03:18:36.821983,4,2763,328,2020-09-05t03:20:02.881752,quoted sources
7906,2020-09-05t03:18:36.996029,4,2764,328,2020-09-05t03:31:58.521450,quoted sources
7913,2020-09-05t18:13:05.646021,4,2762,330,2020-09-05t18:18:52.881969,quoted sources
7914,2020-09-05t18:13:05.758454,4,2763,330,2020-09-05t18:23:25.117643,quoted sources
7915,2020-09-05t18:18:53.008101,4,2764,330,2020-09-05t18:25:10.799661,quoted sources
7916,2020-09-05t18:23:25.244830,4,2765,330,2020-09-05t18:27:37.345076,quoted sources
7917,2020-09-05t18:25:10.926587,4,2766,330,2020-09-05t18:31:34.418458,quoted sources
7918,2020-09-05t18:27:37.477933,4,2767,330,2020-09-05t18:32:57.776501,quoted sources
7919,2020-09-05t18:37:13.681406,4,2765,2,2020-09-05t18:46:53.846711,quoted sources
7920,2020-09-05t19:17:33.587219,4,2762,149,2020-09-05t19:26:31.217460,quoted sources
7921,2020-09-05t19:17:33.727484,4,2763,149,2020-09-05t19:30:09.139395,quoted sources
7922,2020-09-05t19:26:31.904081,4,2764,149,2020-09-05t19:32:30.519855,quoted sources
7923,2020-09-05t19:30:09.287014,4,2765,149,2020-09-05t19:39:08.848988,quoted sources
7924,2020-09-05t19:32:30.703263,4,2766,149,2020-09-05t19:45:01.682594,quoted sources
7925,2020-09-05t19:39:09.231149,4,2767,149,2020-09-05t19:49:17.733545,quoted sources
7926,2020-09-05t19:45:01.833825,4,2768,149,2020-09-05t19:54:34.196561,quoted sources
7927,2020-09-05t19:38:53.801844,4,2762,232,2020-09-05t19:54:46.443704,quoted sources
7928,2020-09-05t19:49:17.920437,4,2769,149,2020-09-05t19:57:26.632171,quoted sources
7929,2020-09-05t19:54:34.384948,4,2770,149,2020-09-05t19:59:49.453278,quoted sources
7930,2020-09-05t19:38:53.956851,4,2763,232,2020-09-05t20:00:04.751484,quoted sources
7931,2020-09-05t19:57:26.778888,4,2771,149,2020-09-05t20:07:41.201321,quoted sources
7932,2020-09-05t19:59:49.639916,4,2772,149,2020-09-05t20:11:52.530966,quoted sources
7933,2020-09-05t20:07:41.343557,4,2773,149,2020-09-05t20:16:20.549247,quoted sources
7934,2020-09-05t20:11:52.726968,4,2774,149,2020-09-05t20:20:44.370906,quoted sources
7935,2020-09-05t20:16:20.751204,4,2775,149,2020-09-05t20:27:16.374103,quoted sources
7936,2020-09-05t20:20:44.513508,4,2776,149,2020-09-05t20:29:37.489883,quoted sources
7937,2020-09-05t20:27:16.586306,4,2777,149,2020-09-05t20:32:18.177245,quoted sources
7938,2020-09-05t20:29:37.673560,4,2778,149,2020-09-05t20:35:25.613236,quoted sources
7939,2020-09-05t20:32:18.322290,4,2779,149,2020-09-05t20:41:05.290941,quoted sources
7940,2020-09-05t20:35:25.801000,4,2780,149,2020-09-05t20:46:04.167889,quoted sources
7941,2020-09-05t20:41:05.481779,4,2781,149,2020-09-05t20:50:29.262524,quoted sources
7942,2020-09-05t21:36:22.883567,4,2782,149,2020-09-05t21:37:59.148369,quoted sources
7943,2020-09-05t21:36:23.019114,4,2783,149,2020-09-05t21:39:37.757131,quoted sources
7944,2020-09-05t21:37:59.348179,4,2784,149,2020-09-05t21:46:34.663095,quoted sources
7945,2020-09-05t21:39:37.950123,4,2785,149,2020-09-05t21:49:49.153893,quoted sources
7946,2020-09-05t21:46:34.810676,4,2786,149,2020-09-05t21:51:59.678762,quoted sources
7947,2020-09-05t21:49:49.341183,4,2787,149,2020-09-05t21:55:15.885177,quoted sources
7959,2020-09-06t11:01:13.558983,4,2762,327,2020-09-06t11:29:20.584544,quoted sources
7960,2020-09-06t17:34:34.984554,4,2768,330,2020-09-06t20:42:04.557695,quoted sources
7961,2020-09-06t17:34:36.979692,4,2769,330,2020-09-06t20:44:49.159717,quoted sources
7962,2020-09-06t20:42:04.687116,4,2770,330,2020-09-06t20:46:26.032808,quoted sources
7963,2020-09-06t20:44:49.283743,4,2771,330,2020-09-06t20:49:54.164248,quoted sources
7964,2020-09-07t00:28:49.222775,4,2762,331,2020-09-07t00:34:44.982232,quoted sources
